id,date,title,content,created_at,provider,footnotes
3,27/07/2025,ONEG V’KAVOD SHABBOS  (ENJOYING AND HONORING  SHABBOS),"The Torah says, “On the seventh day, it will be a day of rest, a holy day.” 1 The Medrash teaches that this means that one must honor Shabbos. In addition, the Prophet says, “And you shall make it a joyous day.” 2 Our Sages explain that this means one must enjoy Shabbos, 3 by wearing clean clothes and preparing special food. This mitzvah is not to be taken lightly. Our Sages tell us that anyone who makes Shabbos special “inherits a great portion, is saved from the rule of the foreign world, and merits wealth.” 4 Three Levels of Honoring Shabbos_ • Those who can, should buy special foods like fish, meat, and wine (or whatever other food would be fitting) in honor of Shabbos. Our Sages teach, “One’s livelihood is set during the days between Rosh HaShanah and Yom Kippur, except for [the monies] spent on Shabbos, where the more one spends, the more Hashem adds to his livelihood, and the less one spends, Hashem decreases from it.” 6 • One who is very limited in funds should at least try to buy something small that is special for Shabbos. He should even take a small loan in order to do so, if he has a way to pay it back. Hashem promises, “If one takes a loan in order to honor Shabbos, I (Hashem) will pay [it] back.” • However, one who is extremely poor should not depend on others to do this mitzvah , and he certainly should not take out a loan. He should, however, attempt to minimize his weekday expenditures in order to do something small for the sake of Shabbos. NOTE: Spending for Shabbos is a great mitzvah. However, it should be done with- in reason. Furthermore, it should be done in order to honor Shabbos, not just for one’s own enjoyment. When one buys special things for Shabbos, it is good to say, “ Lichvod Shabbos Kodesh — [I am buying it] for the honor of the holy Shabbos.” 7",27/07/2025 10:57,Rabbi Daniele Braude,"1. Vayikra  23:3.
2. Yeshayahu  58:13.
3. Shabbos  119a.
4. Ibid. 118b.
5. Mishnah Berurah  242:1—3.
6. Beitzah  16b. The other exceptions are expenditures for Torah learning, Rosh Chodesh, and  Yom Tov.
7. Mishnah Berurah  250:2."
4,28/07/2025,HONORING AND PREPARING  FOR SHABBOS - FOOD,"Food One should have at least two cooked foods in honor of Shabbos. 8 If one encounters a special food during the week, he should keep it for Shabbos, so long as it will not spoil. The more one honors Shabbos — whether by buying food or drinks, or by wearing special clothes — the more praiseworthy. 9",27/07/2025 10:57,Rabbi Daniele Braude,"8. Mishnah Berurah  242:2.
9. Ibid. 262:9."
5,29/07/2025,HONORING AND PREPARING  FOR SHABBOS - BREAD,"Bread One should eat special Shabbos bread, commonly known as challah, and in some places, kitke , at the Shabbos meals. In general, Ashkenazim are permitted to eat bread baked by a non-Jewish bakery, provided that the ingredients and vessels used are kosher, and it is baked only in a proper bakery (and not at home). This is why some Jewish courts of law will investigate and issue a ruling that government bread is kosher. This is known as pas palter (bread of a non-Jewish baker). Nevertheless, it is a good stringency to only eat bread baked by a Jew, known as pas Yisrael (bread of a Jew). However, it is fitting to bake one’s own bread in honor of Shabbos. There is also the added mitzvah of separating challah from the dough. If one does not bake challah, he should certainly try to buy bread that was baked by a Jew ( pas Yisrael ). (Of course, if one is unable to do either of these, he may still use pas palter for his Shabbos meals.) 10",27/07/2025 10:57,Rabbi Daniele Braude,10. Ibid. 242:6.
6,30/07/2025,"HONORING AND PREPARING FOR  SHABBOS, CONTINUED - SHABBOS CLOTHING","Shabbos Clothing One should wear special clothes in honor of Shabbos. This is seen from the verse that says, “ v’chibadeto (and you shall honor it).” 11 One way to honor Shabbos is by changing from weekday clothes into special Shabbos clothing. One should not merely wear Shabbos clothes in shul. Rather, he should try to keep them on throughout Shabbos__ (unless one is sleeping, etc.). The Vilna Gaon would even change his belt, and the Chazon Ish would change his yarmulke in honor of Shabbos. One is not required to change his undergarments, provided that they are clean. 13 One also need not change his shoes if they are presentable. However, doing so is praiseworthy ( middas chassidus ). It is praiseworthy to have a special tallis for Shabbos, if it is within one’s means. 14",27/07/2025 10:57,Rabbi Daniele Braude,"11. Yeshayahu  58:13.
12. Kitzur Hilchos Shabbos  1:3.
13. Chut Shani  1:3.
14. Mishnah Berurah  262:5."
7,31/07/2025,"HONORING AND PREPARING FOR  SHABBOS, CONTINUED - WOMEN AND SHABBOS CLOTHING","Women and Shabbos Clothing Women should preferably be wearing Shabbos clothing when they light the candles. 15 Obviously, a woman should not delay lighting and risk desecrating Shabbos in order to do so. Indeed, it is better to sit in the dark for the whole of Shabbos than light when it is too late. 16",27/07/2025 10:57,Rabbi Daniele Braude,"15. Ibid. 262:11.
16. Zichru Toras Moshe  4."
8,01/08/2025,"HONORING AND PREPARING FOR  SHABBOS, CONTINUED - LAUNDRY","Laundry Ezra the Prophet established that one should do the laundry on Thursday (as opposed to Friday) for the honor of Shabbos. This was in order to allow the time that was necessary for preparing foods for Shabbos on Friday. 17 In those times, and indeed, until not that long ago, laundry was done by hand and took an entire day. However, today we use washing machines and dryers. Therefore, one can do laundry on Friday if necessary. 18",27/07/2025 10:57,Rabbi Daniele Braude,"17. Shulchan Aruch ,  Orach Chaim  242:1.
18. RavShlomo Zalman Auerbach, based on  Shemiras Shabbos Kehilchasah , old ed., 42, footnote 13."
9,02/08/2025,"HONORING AND PREPARING FOR  SHABBOS, CONTINUED - TASTING THE FOOD","Tasting the Food There is a custom to taste the food before Shabbos comes in. 19 This is in order to check that the food is good. This is hinted to in the Shemoneh Esrei of Mussaf of Shabbos, where we say, “ To’amehah chaim zachu — Those who taste it merit life.” It also reminds us that the joy of Shabbos is merely a taste of the joy of the World to Come. If one plans to actually swallow what he is tasting, he must make a brachah . Interestingly, one who is accustomed to do so during the year is permitted to taste the food even on the erev Shabbos that falls out within the first nine days of Av, when we are usually not permitted to eat meat. 20 (Some say that one is only permitted to taste, and not to swallow. 21 )",27/07/2025 10:57,Rabbi Daniele Braude,"19. Mishnah Berurah  250:2.
20. Rav Wosner in  Kovetz MiBeis Levi  13, p. 49.
21. Hisorerus Teshuvah  2:169;  Yalkut Gershuni."
10,03/08/2025,"HONORING AND PREPARING FOR  SHABBOS, CONTINUED - DOING TESHUVAH","Doing Teshuvah On erev Shabbos , one should consider his actions of the past week, and com- mit to repenting for anything he found to be incorrect. 22 This is because when we welcome Shabbos, we are really welcoming Hashem, and it is fitting to be “clean” when greeting the King.",27/07/2025 10:57,Rabbi Daniele Braude,22. Mishnah Berurah  250:3.
11,04/08/2025,"HONORING AND PREPARING FOR  SHABBOS, CONTINUED","On Friday morning, one should get up early enough (and earlier than nor- mal, if necessary) to have enough time to prepare for Shabbos. 23 Shabbos preparations include buying and preparing the necessary food and getting the house in order, among other things. This obligation is seen directly from the Torah: “They collected the mann each morning . . . On the sixth day, they prepared what they had brought.” 24 The obligation is on the person who is responsible for the Shabbos prepa- rations. 25 Nevertheless, even if all the Shabbos preparations have been made, one should always do something to personally prepare for Shabbos. A mitzvah done by oneself is greater than if it is done by someone else on his behalf. 26 Therefore, the more one personally prepares for Shabbos, the more praisewor- thy he is. Furthermore, it should not be below one’s dignity to do so. We find that the Amora’im__ (the Sages from the time of the Talmud) took time off to cut vegetables, chop wood, light the fire, and clean the house. Giving honor to Shabbos is an honor for oneself. A person should not postpone the Torah learning that he is accustomed, to after Shacharis in order to prepare for Shabbos. 28 However, if those preparations cannot be done after his learning, he must prepare for Shabbos first and learn Torah afterwards. Furthermore, although it is generally forbidden to work before one has davened Shacharis , one may prepare for Shabbos before davening. However, he should be careful to daven and say Shema within the right time. During the winter, when the days are short, it is recommended to start some of the preparations before Friday. 29",27/07/2025 10:57,Rabbi Daniele Braude,"23. Shulchan Aruch ,  Orach Chaim  250:1.
24. Shemos  16:5.
25. Chut Shani  1:4.
26. Kiddushin  41a.
27. Shabbos  119a.
28. Mishnah Berurah  250:1.
29. Ibid. 250:2"
12,05/08/2025,CUTTING NAILS - FINGERNAILS AND TOENAILS,"Fingernails and Toenails Some say that one should not cut fingernails and toenails on the same day. Therefore, one should ideally cut his toenails on Thursday (as the growth will not be noticeable on Shabbos) and his fingernails on Friday. If he did not, it is fine to cut them both on the same day. 33 (A woman who goes to the mikvah is likely to cut them on the same day in any case. 34 )",27/07/2025 10:57,Rabbi Daniele Braude,"30. Shulchan Aruch ,  Orach Chaim  260:1.
31. Mishnah Berurah  260:6.
32. Shaarei Teshuvah  251:4.
33. Mishnah Berurah  260:6.
34. Ketzos HaShulchan  73."
