id,date,title,content,audio_url,speaker,created_at,provider,speaker_website
1,2025-07-01,Parashat Shelach - The Test That Began Centuries,Parashat Shelach - The Test That Began Centuries,https://media.ou.org/torah/3796/72710/72710.mp3,Rabbi David Ashear,2025-07-01 6:42:48,Rabbi David Ashear,https://www.livingemunah.com/
2,2025-07-02,The Perfect Life,The Perfect Life,https://media.ou.org/torah/3796/228616/228616.mp3,Rabbi David Ashear,2025-07-01 6:42:48,Rabbi David Ashear,https://www.livingemunah.com/
3,2025-07-03,Always With You,Always With You,https://media.ou.org/torah/3796/220626/220626.mp3,Rabbi David Ashear,2025-07-01 6:42:48,Rabbi David Ashear,https://www.livingemunah.com/
4,2025-07-04,If We Have the Will,If We Have the Will,https://media.ou.org/torah/3796/216728/216728.mp3,Rabbi David Ashear,2025-07-01 6:42:48,Rabbi David Ashear,https://www.livingemunah.com/
5,2025-07-05,Get the Message,Get the Message,https://media.ou.org/torah/3796/215235/215235.mp3,Rabbi David Ashear,2025-07-01 6:42:48,Rabbi David Ashear,https://www.livingemunah.com/
6,2025-07-06,Accepting With Love,Accepting With Love,https://media.ou.org/torah/3796/212193/212193.mp3,Rabbi David Ashear,2025-07-01 6:42:48,Rabbi David Ashear,https://www.livingemunah.com/
7,2025-07-07,For Now,For Now,https://media.ou.org/torah/3796/210984/210984.mp3,Rabbi David Ashear,2025-07-01 6:42:48,Rabbi David Ashear,https://www.livingemunah.com/
8,2025-07-08,The Ripple Effect,The Ripple Effect,https://media.ou.org/torah/3796/209277/209277.mp3,Rabbi David Ashear,2025-07-01 6:42:48,Rabbi David Ashear,https://www.livingemunah.com/
9,2025-07-09,Take the Message to Heart,Take the Message to Heart,https://media.ou.org/torah/3796/207567/207567.mp3,Rabbi David Ashear,2025-07-01 6:42:48,Rabbi David Ashear,https://www.livingemunah.com/
10,2025-07-10,Hashem is Our Father,Hashem is Our Father,https://media.ou.org/torah/3796/205358/205358.mp3,Rabbi David Ashear,2025-07-01 6:42:48,Rabbi David Ashear,https://www.livingemunah.com/
11,2025-07-11,Catapult Into Greatness,Catapult Into Greatness,https://media.ou.org/torah/3796/202035/202035.mp3,Rabbi David Ashear,2025-07-01 6:42:48,Rabbi David Ashear,https://www.livingemunah.com/
12,2025-07-12,The Last Tisha B'Av,The Last Tisha B'Av,https://media.ou.org/torah/3796/200691/200691.mp3,Rabbi David Ashear,2025-07-01 6:42:48,Rabbi David Ashear,https://www.livingemunah.com/
13,2025-07-13,The Right Words,The Right Words,https://media.ou.org/torah/3796/199612/199612.mp3,Rabbi David Ashear,2025-07-01 6:42:48,Rabbi David Ashear,https://www.livingemunah.com/
